Name	Ratio	Tags
Amnesia: The Dark Descent	92.72%	10101100001010010100001000
The Curse of Monkey Island	92.72%	00001100011010001100000000
XCOM: Enemy Unknown	92.71%	00101001101000000000100000
Alien Swarm: Reactive Drop	92.71%	00101000000100000010100001
Miracle Snack Shop	92.71%	10111110010000100001000010
ARMORED HEAD	92.71%	10101100001000000100001001
Raft	92.70%	10101111000000000000111000
STEINS;GATE 0	92.69%	00001100001000010000000010
Creeper World 3: Arc Eternal	92.69%	10001011010001000000000000
Yakuza Kiwami 2	92.68%	00101100100000010000000010
Kindergarten	92.67%	10001101000011010000010000
Antichamber	92.66%	10001100001010001100001000
ISLANDERS	92.66%	10001001001110001100000000
Montaro	92.66%	10111000011001010001000010
A Space For The Unbound - Prologue	92.66%	00011100011001010100000010
It Steals	92.66%	10101000001101000000001100
Little Nightmares II	92.65%	10101100001010010000100000
BioShock Infinite	92.64%	00101100101000110000001001
Dinkum	92.63%	00001100100000000101010000
Supraland	92.63%	00101100000110001101001000
?????????????? ??????	92.63%	00000000000000000000000010
Farming Simulator 19	92.61%	00001011001000000000101000
Alien Swarm	92.61%	00101101000000000010100001
COMPOUND	92.61%	10101000000101000000011001
Beacon Pines	92.61%	00011100101000011101000000
Meteor 60 Seconds!	92.59%	10111010010000010011100010
"Star Wars: Battlefront 2 (Classic, 2005)"	92.58%	00101101000000000000101001
Pikuniku	92.58%	10111100010010001101100000
Cosmoteer: Starship Architect &amp; Commander	92.57%	00000011000000000000110000
Incredibox	92.57%	10011000010000000000000000
S.T.A.L.K.E.R.: Shadow of Chernobyl	92.56%	00101100101000000000001001
Journey	92.55%	10011100001100010100100000
The Coin Game	92.55%	10011110001000000000111100
Spin Rhythm XD	92.55%	10111000000100001000110100
Rusty Lake Hotel	92.54%	10011100011010010000000000
Wildermyth	92.53%	10001001100000110000000000
Soulstone Survivors: Prologue	92.53%	10101000100100000010000100
Voidigo	92.52%	00100000010001001101010001
Gunfire Reborn	92.51%	10101100100000000000111001
Nightmare of Decay	92.51%	10101100000000000000001000
AVICII Invector	92.50%	10010000000000000000100000
Detroit: Become Human	92.49%	00001100001000010000000000
Your Only Move Is HUSTLE	92.48%	00100011010001001001000010
Manifold Garden	92.48%	10001100001010001100001000
Vecter	92.48%	11111000001000000010100100
9-nine-:Episode 2	92.48%	00110010010000000001000010
The Void Rains Upon Her Heart	92.48%	10100000011001001001010000
Superliminal	92.47%	00001100000010011100001000
Epic Battle Fantasy 4	92.47%	10111101110000100001000010
Devil Daggers	92.46%	10101000001001000000001101
"STAR WARS&trade; Battlefront (Classic, 2004)"	92.46%	00101000000000000000101001
Farmer Against Potatoes Idle	92.45%	00010010100000000010010010
Zup! 8	92.44%	10111100010010000001100000
Skyrim Script Extender (SKSE)	92.44%	00001000100000010010000000
Mitoza	92.43%	11011100011000000110000000
Save Room - Organization Puzzle	92.43%	10011000000010000000000000
Stronghold HD	92.42%	00000011011000000000000000
Cat Quest II	92.42%	00100100110000100101000000
Stick Fight: The Game	92.41%	10110001010000000000100001
SteamWorld Dig 2	92.41%	10111100110010001100000000
The Witch's House MV	92.41%	10000000000000000000000000
